"","YaleID","Accession.ID"
"358","Yale-4416","EPI_ISL_2023101"
"359","Yale-4411","EPI_ISL_2023097"
"360","Yale-4405","EPI_ISL_2023091"
"361","Yale-4410","EPI_ISL_2023096"
"362","Yale-4401","EPI_ISL_2023087"
"363","Yale-4406","EPI_ISL_2023092"
"364","Yale-4403","EPI_ISL_2023089"
"365","Yale-4404","EPI_ISL_2023090"
"366","Yale-4391","EPI_ISL_2020858"
"367","Yale-4393","EPI_ISL_2020860"
"368","Yale-4387","EPI_ISL_2020855"
"369","Yale-4382","EPI_ISL_2020850"
"370","Yale-4386","EPI_ISL_2020854"
"371","Yale-4373","EPI_ISL_2020842"
"372","Yale-4377","EPI_ISL_2020846"
"373","Yale-4379","EPI_ISL_2020848"
"374","Yale-4370","EPI_ISL_2020839"
"375","Yale-4390","EPI_ISL_2020857"
"376","Yale-4364","EPI_ISL_2020833"
"377","Yale-4378","EPI_ISL_2020847"
"378","Yale-4384","EPI_ISL_2020852"
"379","Yale-4362","EPI_ISL_2020831"
"380","Yale-4369","EPI_ISL_2020838"
"381","Yale-4365","EPI_ISL_2020834"
"382","Yale-4367","EPI_ISL_2020836"
"383","Yale-4358","EPI_ISL_2020827"
"384","Yale-4352","EPI_ISL_2020821"
"385","Yale-4357","EPI_ISL_2020826"
"386","Yale-4355","EPI_ISL_2020824"
"387","Yale-4354","EPI_ISL_2020823"
"388","Yale-4349","EPI_ISL_2020818"
"389","Yale-4348","EPI_ISL_2020817"
"390","Yale-4337","EPI_ISL_2020806"
"391","Yale-4343","EPI_ISL_2020812"
"392","Yale-4340","EPI_ISL_2020809"
"393","Yale-4342","EPI_ISL_2020811"
"394","Yale-4333","EPI_ISL_2020802"
"395","Yale-4330","EPI_ISL_2020799"
"396","Yale-4341","EPI_ISL_2020810"
"397","Yale-4328","EPI_ISL_2020797"
"398","Yale-4331","EPI_ISL_2020800"
"399","Yale-4326","EPI_ISL_2020796"
"400","Yale-4322","EPI_ISL_2020792"
"401","Yale-4332","EPI_ISL_2020801"
"402","Yale-4335","EPI_ISL_2020804"
"403","Yale-4320","EPI_ISL_2020790"
"404","Yale-4323","EPI_ISL_2020793"
"405","Yale-4314","EPI_ISL_2020784"
"406","Yale-4318","EPI_ISL_2020788"
"407","Yale-4315","EPI_ISL_2020785"
"408","Yale-4316","EPI_ISL_2020786"
"409","Yale-4312","EPI_ISL_2020782"
"410","Yale-4308","EPI_ISL_2020778"
"411","Yale-4309","EPI_ISL_2020779"
"412","Yale-4310","EPI_ISL_2020780"
"413","Yale-4289","EPI_ISL_2020763"
"414","Yale-4286","EPI_ISL_2020760"
"415","Yale-4282","EPI_ISL_2020757"
"416","Yale-4278","EPI_ISL_2020753"
"417","Yale-4274","EPI_ISL_2020749"
"418","Yale-4277","EPI_ISL_2020752"
"419","Yale-4279","EPI_ISL_2020754"
"420","Yale-4275","EPI_ISL_2020750"
"421","Yale-4281","EPI_ISL_2020756"
"422","Yale-4272","EPI_ISL_2020747"
"423","Yale-4265","EPI_ISL_2020742"
"424","Yale-4259","EPI_ISL_2020736"
"425","Yale-4271","EPI_ISL_2020746"
"426","Yale-4280","EPI_ISL_2020755"
"427","Yale-4261","EPI_ISL_2020738"
"428","Yale-4266","EPI_ISL_2020743"
"429","Yale-4264","EPI_ISL_2020741"
"430","Yale-4253","EPI_ISL_2020731"
"431","Yale-4258","EPI_ISL_2020735"
"432","Yale-4254","EPI_ISL_2020732"
"433","Yale-4251","EPI_ISL_2020729"
"434","Yale-4250","EPI_ISL_2020728"
